ï»¿Titre,Realisateur,Annee,Duree,Note TMDB,Themes,Synopsis,Lien YouTube,Lien TMDB
"Feast","Patrick Osborne",2014,6 min,7.8,"Comedy, Animation, Drama","This Oscar-winning animated short film tells the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through the meals they share.",,https://www.themoviedb.org/movie/293299
"La luna","Enrico Casarosa",2012,7 min,7.8,"Fantasy, Animation","A young boy comes of age in the most peculiar of circumstances.",,https://www.themoviedb.org/movie/83564
"Whiplash","Damien Chazelle",2013,18 min,7.8,"Drama","A ferocious, bullying music teacher teaches a dedicated student.",,https://www.themoviedb.org/movie/367412
"World of Tomorrow","Don Hertzfeldt",2015,17 min,7.8,"Sci-Fi, Animation, Drama","A little girl is taken on a mind-bending tour of her distant future.",,https://www.themoviedb.org/movie/303867
"Us Again","Zach Parrish",2021,7 min,7.8,"Romance, Animation, Drama","In a vibrant city pulsating with rhythm and movement, an elderly man and his young-at-heart wife rekindle their youthful passion for life and each other on one magical night.",,https://www.themoviedb.org/movie/779047
"If Anything Happens I Love You","Michael Govier",2020,12 min,7.7,"Animation, Drama","In this Oscar-winning short film, grieving parents journey through an emotional void as they mourn the loss of a child after a tragic school shooting.",https://www.youtube.com/watch?v=3kH75xhTpaM,https://www.themoviedb.org/movie/713776
"Day & Night","Teddy Newton",2010,6 min,7.7,"Comedy, Animation","When Day, a sunny fellow, encounters Night, a stranger of distinctly darker moods, sparks fly!",https://www.youtube.com/watch?v=wmk9uFGRCRw,https://www.themoviedb.org/movie/40619
"Bao","Domee Shi",2018,8 min,7.6,"Comedy, Fantasy, Animation","An aging Chinese mother suffering from empty nest syndrome gets another chance at motherhood when one of her dumplings springs to life as a lively, giggly dumpling boy.",https://www.youtube.com/watch?v=f5CcgFTO274,https://www.themoviedb.org/movie/514754
"Hair Love","Matthew A. Cherry",2019,7 min,7.6,"Comedy, Animation","When dad has to unexpectedly step in for mom to do his daughter Zuriâs hair before a big event, what seems like a simple task is anything but as these locks have a mind of their own!",,https://www.themoviedb.org/movie/589739
"For the Birds","Ralph Eggleston",2000,4 min,7.5,"Comedy, Animation","One by one, a flock of small birds perches on a telephone wire.",https://www.youtube.com/watch?v=DeEZx4K0Eic,https://www.themoviedb.org/movie/13930
"Lifted","Gary Rydstrom",2006,5 min,7.5,"Comedy, Sci-Fi, Animation","When an overconfident teen alien gets behind the controls of a spaceship, he must attempt to abduct a slumbering farmer under the watchful eye of a critical instructor.",,https://www.themoviedb.org/movie/13060
"BURNÂ·E","Angus MacLane",2008,8 min,7.5,"Comedy, Sci-Fi, Animation","What lengths will a robot undergo to do his job?",,https://www.themoviedb.org/movie/13413
"The Blue Umbrella","Saschka Unseld",2013,7 min,7.5,"Romance, Animation","It is just another evening commute until the rain starts to fall, and the city comes alive to the sound of dripping rain pipes, whistling awnings and gurgling gutters.",,https://www.themoviedb.org/movie/200481
"Lou","Dave Mullins",2017,6 min,7.5,"Comedy, Fantasy, Animation","A Pixar short about a lost-and-found box and the unseen monster within.",,https://www.themoviedb.org/movie/433471
"Ciao Alberto","McKenna Jean Harris",2021,7 min,7.4,"Comedy, Fantasy, Animation","With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimoâthe imposing, tattooed, one-armed fisherman of few wordsâwho's quite possibly the coo",,https://www.themoviedb.org/movie/876716
"A Matter of Loaf and Death","Nick Park",2008,30 min,7.4,"Comedy, Romance, Thriller","Wallace and Gromit open a bakery, accidentally getting tied up with a murder mystery in the process.",,https://www.themoviedb.org/movie/14447
"High School of the Dead: Drifters of the Dead","Tetsuro Araki",2011,18 min,7.4,"Comedy, Horror, Animation","In their efforts to find a safe haven from the zombie apocalypse, the gang find themselves on a deserted island.",,https://www.themoviedb.org/movie/203101
"Carl's Date","Bob Peterson",2023,9 min,7.4,"Comedy, Romance, Animation","Carl Fredricksen reluctantly agrees to go on a date with a lady friendâbut admittedly has no idea how dating works these days.",,https://www.themoviedb.org/movie/1076364
"Monster Pets: A Hotel Transylvania Short","Derek Drymon",2021,6 min,7.4,"Comedy, Fantasy, Animation","Drac tries out some new monster pets to help occupy Tinkles for playtime.",,https://www.themoviedb.org/movie/813258
"Maggie Simpson in ""Playdate with Destiny""","David Silverman",2020,4 min,7.4,"Comedy, Romance, Animation","When Maggie Simpson is rescued by a cute young baby from playground peril, it's girl meets boy, girl loses boy, guess what happens next?",,https://www.themoviedb.org/movie/673595
"Lava","James Ford Murphy",2015,7 min,7.3,"Romance, Animation","Inspired by the isolated beauty of tropical islands and the explosive allure of ocean volcanoes, Lava is a musical love story that takes place over millions of years.",https://www.youtube.com/watch?v=uh4dTLJ9q9o,https://www.themoviedb.org/movie/286192
"Jack-Jack Attack","Brad Bird",2005,5 min,7.3,"Animation","The Parrs' baby Jack-Jack is thought to be normal, not having any super-powers like his parents or siblings.",,https://www.themoviedb.org/movie/13932
"Anima","Paul Thomas Anderson",2019,15 min,7.3,"Drama","In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece.",,https://www.themoviedb.org/movie/610120
"Lights Out","David F. Sandberg",2014,3 min,7.3,"Horror, Documentary","A woman prepares for bed, but realizes that something may be lurking in the shadows.",https://www.youtube.com/watch?v=FUQhNGEu2KA,https://www.themoviedb.org/movie/259761
"Dragons: Dawn of the Dragon Racers","John Sanford",2014,26 min,7.3,"Comedy, Fantasy, Animation","A hunt for a lost sheep turns into a competition between Hiccup and friends as they compete to become the first Dragon Racing champion of Berk.",,https://www.themoviedb.org/movie/298115
"The Gruffalo","Max Lang",2009,27 min,7.3,"Fantasy, Animation, Documentary","The magical tale of a mouse who sets foot on a woodland adventure in search of a nut.",,https://www.themoviedb.org/movie/28118
"Riley's First Date?","Josh Cooley",2015,5 min,7.2,"Animation","Riley, now 12, who is hanging out with her parents at home when potential trouble comes knocking.",https://www.youtube.com/watch?v=aQTOxMeaAL8,https://www.themoviedb.org/movie/355338
"Toy Story of Terror!","Angus MacLane",2013,22 min,7.2,"Comedy, Animation","What starts out as a fun road trip for the Toy Story gang takes an unexpected turn for the worse when the trip detours to a roadside motel.",,https://www.themoviedb.org/movie/213121
"Marvel One-Shot: Agent Carter","Louis D'Esposito",2013,15 min,7.2,"Sci-Fi, Drama","One year after the events of Captain America: The First Avenger, Agent Peggy Carter, a member of the Strategic Scientific Reserve, searches for the mysterious Zodiac.",,https://www.themoviedb.org/movie/211387
"The Good, the Bart, and the Loki","David Silverman",2021,6 min,7.2,"Comedy, Animation","Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfieldâs mightiest heroes.",,https://www.themoviedb.org/movie/846214
"One Man Band","Mark Andrews",2005,5 min,7.2,"Animation","With one coin to make a wish at the piazza fountain, a peasant girl encounters two competing street performers who'd prefer the coin find its way into their tip jars.",,https://www.themoviedb.org/movie/13933
"Team Thor","Taika Waititi",2016,3 min,7.2,"Comedy, Sci-Fi","Discover what Thor was up to during the events of Captain America: Civil War.",,https://www.themoviedb.org/movie/413279
"Deadpool: No Good Deed","David Leitch",2017,4 min,7.2,"Comedy, Thriller, Drama","Deadpool sees an opportunity to save the day, but it doesn't go entirely as planned.",,https://www.themoviedb.org/movie/558144
"Dragons: Gift of the Night Fury","Tom Owens",2011,22 min,7.2,"Comedy, Animation","Hiccup and Toothless go on an exciting adventure and discover an island of new dragons.",,https://www.themoviedb.org/movie/91417
"Tangled Ever After","Nathan Greno",2012,6 min,7.1,"Comedy, Animation, Drama","The kingdom is in a festive mood as everyone gathers for the royal wedding of Rapunzel and Flynn.",https://www.youtube.com/watch?v=bHUa67Zd77Q,https://www.themoviedb.org/movie/82881
"Partysaurus Rex","Mark A. Walsh",2012,7 min,7.1,"Comedy, Animation","When Rex finds himself left behind in the bathroom, he puts his limbs to use by getting a bath going for a bunch of new toy friends.",,https://www.themoviedb.org/movie/130925
"Blade Runner: Black Out 2022","Shinichiro Watanabe",2017,16 min,7.1,"Sci-Fi, Animation, Drama","This animated short revolves around the events causing an electrical systems failure on the west coast of the US.",,https://www.themoviedb.org/movie/475946
"Groot Takes a Bath","Kirsten Lepore",2022,6 min,7.1,"Comedy, Sci-Fi, Animation","Everybody needs some alone time to relax and wash up, but things go quite differently when youâre a Flora Colossi toddler.",,https://www.themoviedb.org/movie/1010821
"Lamp Life","Valerie LaPointe",2020,7 min,7.1,"Comedy, Animation","Bo Peep explains what happened to herself and her sheep between the events of Toy Story 2 and Toy Story 4.",,https://www.themoviedb.org/movie/594530
"Superman/Shazam!: The Return of Black Adam","Joaquim Dos Santos",2010,25 min,7,"Sci-Fi, Animation, Drama","Chosen the worldâs protector against the Seven Deadly Enemies of Man â pride, envy, greed, hatred, selfishness, laziness and injustice â young Billy Batson accepts his destiny as Captain Marvel.",https://www.youtube.com/watch?v=Q2H_8fTjZrg,https://www.themoviedb.org/movie/43641
"Toy Story That Time Forgot","Steve Purcell",2014,22 min,7,"Comedy, Animation","During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional.",,https://www.themoviedb.org/movie/256835
"Hawaiian Vacation","Gary Rydstrom",2011,7 min,7,"Comedy, Animation","The toys throw Ken and Barbie a Hawaiian vacation in Bonnie's room.",,https://www.themoviedb.org/movie/77887
"Saw","James Wan",2003,10 min,7,"Horror, Thriller","David, an orderly at a hospital, tells his horrific story of being kidnapped and forced to play a vile game of survival.",,https://www.themoviedb.org/movie/246355
"22 vs. Earth","Kevin Nolting",2021,9 min,7,"Comedy, Fantasy, Animation","Set before the events of âSoulâ, 22 refuses to go to Earth, enlisting a gang of 5 new souls in attempt of rebellion.",,https://www.themoviedb.org/movie/811367
"Dug's Special Mission","Ronnie del Carmen",2009,5 min,7,"Comedy, Animation","Dug is sent on foolish missions by Alpha, Beta, and Gamma so they can hunt for the Bird of Paradise Falls by themselves.",,https://www.themoviedb.org/movie/24589
"Dragon Ball: Episode of Bardock","Yoshihiro Ueda",2011,20 min,7,"Sci-Fi, Animation, Drama","A spin-off scenario taking place after the events of the TV special Dragon Ball Z: Bardock - The Father of Goku, in which Bardock survives the destruction of Planet Vegeta and is sent into the past, c",,https://www.themoviedb.org/movie/120475
"Black Adam: Saviour or Destroyer?","",2022,22 min,7,"Fantasy, Documentary","Ahead of the release of upcoming fantasy film âBlack Adamâ, sit down with Dwayne Johnson as he discusses his starring role as the eponymous superhero.",,https://www.themoviedb.org/movie/1040330
"Groot's First Steps","Kirsten Lepore",2022,6 min,7,"Comedy, Sci-Fi, Animation","Following the events of âGuardians of the Galaxy Vol.",,https://www.themoviedb.org/movie/1010818
"Kung Fu Panda Holiday","Tim Johnson",2010,21 min,7,"Comedy, Fantasy, Animation","The Winter Feast is Po's favorite holiday.",,https://www.themoviedb.org/movie/50393
"Rakka","Neill Blomkamp",2017,22 min,7,"Horror, Sci-Fi, Drama","A story of broken humanity following the invasion of a technologically superior alien species.",,https://www.themoviedb.org/movie/461955
"Hotel Chevalier","Wes Anderson",2007,13 min,6.9,"Romance, Drama","In a Paris hotel room, Jack Whitman lies on a bed.",https://www.youtube.com/watch?v=MICi9_sZK84,https://www.themoviedb.org/movie/6418
"Mike's New Car","Pete Docter",2002,3 min,6.9,"Comedy, Animation","Mike discovers that being the top-ranking laugh collector at Monsters, Inc.",,https://www.themoviedb.org/movie/13931
"Small Fry","Angus MacLane",2011,7 min,6.9,"Comedy, Animation","A fast food restaurant mini variant of Buzz forcibly switches places with the real Buzz and his friends have to deal with the obnoxious impostor.",,https://www.themoviedb.org/movie/82424
"Poison","Wes Anderson",2023,17 min,6.9,"Comedy, Thriller, Drama","When a poisonous snake slithers onto an Englishman's stomach in India, his associate and a doctor race to save him.",,https://www.themoviedb.org/movie/1172676
"Once Upon a Snowman","Dan Abraham",2020,7 min,6.9,"Comedy, Fantasy, Animation","The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olafâs first steps as he comes to life and searches for his identity in the snowy mo",,https://www.themoviedb.org/movie/741074
"2036: Nexus Dawn","Luke Scott",2017,7 min,6.9,"Sci-Fi, Thriller","This in-world short film takes place in the year 2036 and revolves around Jared Letoâs character, Niander Wallace.",,https://www.themoviedb.org/movie/473072
"The Madagascar Penguins in a Christmas Caper","Gary Trousdale",2005,11 min,6.9,"Comedy, Animation","During the holiday season, when the animals of the Central Park Zoo are preparing for Christmas, Private, the youngest of the penguins notices that the Polar Bear is all alone.",https://www.youtube.com/watch?v=2a8PrktN8Z4,https://www.themoviedb.org/movie/10258
"Maggie Simpson in ""The Longest Daycare""","David Silverman",2012,5 min,6.9,"Comedy, Animation","Maggie must navigate an eventful first day in daycare.",,https://www.themoviedb.org/movie/116440
"Team Thor: Part 2","Taika Waititi",2017,5 min,6.9,"Comedy, Fantasy, Sci-Fi","A continuation of the documentary spoof of what Thor and his roommate Darryl were up to during the events of ""Captain America: Civil War"".",,https://www.themoviedb.org/movie/441829
"Frozen Fever","Jennifer Lee",2015,8 min,6.8,"Comedy, Animation","On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk.",https://www.youtube.com/watch?v=bsV9o1WFFtc,https://www.themoviedb.org/movie/326359
"Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer","Leythum",2011,4 min,6.8,"Comedy, Fantasy, Sci-Fi","Agent Coulson stops at a convenience store and deals with a coincidental robbery during his visit.",,https://www.themoviedb.org/movie/76535
"The Swan","Wes Anderson",2023,17 min,6.8,"Thriller, Drama","Two large, ignorant bullies ruthlessly pursue a small, brilliant boy in this young adult Roald Dahl short story.",,https://www.themoviedb.org/movie/1172675
"Kung Fu Panda: Secrets of the Furious Five","Raman Hui Shing-Ngai",2008,25 min,6.8,"Animation, Drama","Ordered to teach a martial arts class of rambunctious bunny kittens, Po tells stories of each of the Furious Five's pasts.",,https://www.themoviedb.org/movie/15854
"Your Friend the Rat","Jim Capobianco",2007,11 min,6.8,"Comedy, Animation, Documentary","Let's face it, rats are not the most beloved creatures on earth.",,https://www.themoviedb.org/movie/13061
"The Strange Thing About the Johnsons","Ari Aster",2011,30 min,6.8,"Horror, Drama","A suburban father gets trapped in a one-sided incestuous relationship with his abusive son.",,https://www.themoviedb.org/movie/164052
"2048: Nowhere to Run","Luke Scott",2017,6 min,6.8,"Sci-Fi, Drama, Thriller","â2048: Nowhere to Runâ takes place one year before the events of Blade Runner 2049.",,https://www.themoviedb.org/movie/475759
"Marvel One-Shot: All Hail the King","Drew Pearce",2014,14 min,6.7,"Comedy, Fantasy, Drama","A documentary filmmaker interviews the now-famous Trevor Slattery from behind bars.",,https://www.themoviedb.org/movie/253980
"Return","Anna BÅaszczyk",2008,8 min,6.7,"Sci-Fi, Animation","Polish animator Anna BÅaszczykâs humorous shortâa collage of drawing, cut-out, and computer animationâwas inspired by StanisÅaw Lemâs 1961 novel Return from the Stars, a time-paradox tale of an astron",,https://www.themoviedb.org/movie/839321
"Trolls Holiday","Joel Crawford",2017,26 min,6.7,"Fantasy, Animation","When the eternally optimistic Poppy, queen of the Trolls, learns that the Bergens no longer have any holidays on their calendar, she enlists the help of Branch and the rest of the gang on a delightful",,https://www.themoviedb.org/movie/484510
"Scared Shrekless","Gary Trousdale",2010,21 min,6.7,"Comedy, Animation","Shrek challenges Donkey, Puss in Boots and his other fairy tale character friends to spend the night in Lord Farquaad's haunted castle, telling scary stories to see who can resist becoming scared and ",,https://www.themoviedb.org/movie/48466
"Purl","Kristen Lester",2019,9 min,6.7,"Comedy, Animation","Purl, an earnest ball of yarn, gets a job at a fast-paced, male-centered startup company.",,https://www.themoviedb.org/movie/532953
"Return","Ryan Heron",2015,15 min,6.6,"Comedy, Fantasy","A young man returns home for the weekend to discover the difficulty of juggling friends, parents, magic mushrooms and several thousand chickens.",,https://www.themoviedb.org/movie/464446
"The Rat Catcher","Wes Anderson",2023,17 min,6.6,"Comedy","In an English village, a reporter and a mechanic listen to a ratcatcher explain his clever plan to outwit his prey.",,https://www.themoviedb.org/movie/1172674
"Olaf's Frozen Adventure","Stevie Wermers-Skelton",2017,22 min,6.5,"Comedy, Fantasy, Animation","Olaf is on a mission to harness the best holiday traditions for Anna, Elsa, and Kristoff.",https://www.youtube.com/watch?v=hb8WDATVB6A,https://www.themoviedb.org/movie/460793
"Ice Age: A Mammoth Christmas","Karen Disher",2011,26 min,6.5,"Animation","When Sid accidentally destroys Manny's heirloom Christmas rock and ends up on Santa's naughty list, he leads a hilarious quest to the North Pole to make things right and ends up making things much wor",,https://www.themoviedb.org/movie/79218
"Boundin'","Bud Luckey",2003,5 min,6.5,"Animation","On a high mountain plain lives a lamb with wool of such remarkable sheen that he breaks into high-steppin' dance.",,https://www.themoviedb.org/movie/13062
"Puss in Boots: The Three Diablos","Raman Hui Shing-Ngai",2012,13 min,6.5,"Comedy, Animation","Puss in Boots is on a mission to recover the Princess' stolen ruby from the notorious French thief, Whisperer.",,https://www.themoviedb.org/movie/83201
"The Simpsons in Plusaversary","David Silverman",2021,4 min,6.5,"Comedy, Fantasy, Animation","The Simpsons host a Disney+ Day party and everyone is on the listâ¦ except Homer.",,https://www.themoviedb.org/movie/877183
"Voices of a Distant Star","Makoto Shinkai",2002,25 min,6.5,"Romance, Sci-Fi, Animation","It is 2046 when a mysterious alien force begins their annihilation of the human race.",,https://www.themoviedb.org/movie/37910
"Return","Jonathan Delgado Herrera",2020,12 min,6.4,"Animation","A single man has worked most of his life in a supermarket.",https://www.youtube.com/watch?v=o0eom6hxAEg,https://www.themoviedb.org/movie/836466
"Return","Jon Hyatt",2015,17 min,6.4,"Horror, Romance, Thriller","A young couple purchase their new home to start a life together, only to find out the elderly couple next door have other plans for them.",,https://www.themoviedb.org/movie/379862
"Shrek the Halls","Gary Trousdale",2007,28 min,6.4,"Comedy, Fantasy, Animation","The Christmas tree isn't the only thing green in this new holiday classic.",https://www.youtube.com/watch?v=siFcJ_KNgBQ,https://www.themoviedb.org/movie/13394
"Marvel One-Shot: Item 47","Louis D'Esposito",2012,12 min,6.4,"Fantasy, Sci-Fi, Drama","Benny and Claire, a down-on-their-luck couple, find a discarded Chitauri weapon referred to as 'Item 47'.",,https://www.themoviedb.org/movie/119569
"Ice Age: The Great Egg-Scapade","Ricardo Curtis",2016,25 min,6.4,"Comedy, Animation","A harried prehistoric bird mother entrusts her precious, soon-to-hatch egg to Sid.",,https://www.themoviedb.org/movie/387893
"Ret","Demet Sever",2015,,6.4,"Drama","",,https://www.themoviedb.org/movie/1045781
"Marvel One-Shot: The Consultant","Leythum",2011,4 min,6.3,"Fantasy, Drama, Sci-Fi","Agent Coulson informs Agent Sitwell that the World Security Council wishes Emil Blonsky to be released from prison to join the Avengers Initiative.",,https://www.themoviedb.org/movie/76122
"WHAT DID JACK DO?","David Lynch",2017,17 min,6.3,"Comedy, Thriller","In a locked down train station, a homicide detective conducts an interview with a tormented monkey  who is suspected of murder.",,https://www.themoviedb.org/movie/528491
"Mater and the Ghostlight","John Lasseter",2006,7 min,6.3,"Comedy, Horror, Animation","Mater, the rusty but trusty tow truck from Cars, spends a day in Radiator Springs playing scary pranks on his fellow townsfolk.",,https://www.themoviedb.org/movie/13934
"Los Bandoleros","Vin Diesel",2009,20 min,6.2,"Drama","The film tells the back story about the characters and events leading up to the explosive oil truck heist in Fast &amp; Furious.",,https://www.themoviedb.org/movie/253835
